id,customer,dt,status_id
1,Alice,2023-05-15 10:00:00,1
2,Alice,2023-06-01 09:30:00,2
3,Alice,2023-06-15 14:00:00,1
4,Alice,2023-09-15 15:00:00,3
5,Alice,2023-10-01 11:00:00,4
6,Alice,2023-12-20 09:00:00,1
7,Alice,2024-01-01 08:05:00,2
8,Alice,2024-01-01 08:20:00,1
9,Alice,2024-01-01 08:45:00,3
10,Alice,2024-01-01 09:05:00,2
11,Alice,2024-01-01 09:30:00,4
12,Alice,2024-01-01 09:50:00,1
13,Alice,2024-01-01 10:10:00,2
14,Alice,2024-01-01 10:25:00,1
15,Bob,2023-02-10 08:00:00,1
16,Bob,2023-03-01 10:30:00,2
17,Bob,2023-05-15 14:00:00,1
18,Bob,2023-07-20 11:30:00,3
19,Bob,2023-08-10 09:00:00,4
20,Bob,2023-12-01 08:30:00,1
21,Bob,2024-01-01 10:00:00,2
22,Bob,2024-01-01 10:15:00,1
23,Bob,2024-01-01 10:40:00,3
24,Bob,2024-01-01 11:20:00,4
25,Bob,2024-01-01 11:45:00,1
26,Bob,2024-01-01 11:55:00,2
27,Bob,2024-01-01 12:00:00,1
28,Bob,2024-01-01 12:25:00,3
29,Bob,2024-01-01 12:50:00,1
